Common_Name	Scientific_Name
Herring	Clupea harengus
Sprat	Sprattus sprattus
Cod	Gadus morhua
Haddock	Melanogrammus aeglefinus
Whiting	Merlangius merlangus
Blue whiting	Micromesistius poutassou
Norway Pout	Trisopterus esmarkii
Poor Cod	Trisopterus minutus
Hake	Merluccius merluccius
Monkfish	Lophius piscatorius
Horse mackerel	Trachurus trachurus
Mackerel	Scomber scombrus
Common Dab	Limanda limanda
Plaice	Pleuronectes platessa
Megrim	Lepidorhombus whiffiagonis
Sole	Solea solea
